Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
15	5	2025	25.49	34.19	9.64	2.14
16	5	2025	26.23	34.77	7.36	2.48
17	5	2025	25.52	34.68	8.11	2.61
18	5	2025	25.51	34.46	7.15	2.47
19	5	2025	25.57	33.88	7.93	2.36
20	5	2025	25.59	33.42	8.43	2.26
21	5	2025	25.67	33.99	13.68	1.45
22	5	2025	25.37	30.03	21.49	0.85
23	5	2025	25.41	30.99	20.14	0.9
24	5	2025	25.05	31.4	12.21	1.46
25	5	2025	25.16	31.67	10.87	1.49
26	5	2025	25.14	29.85	4.28	1.05
27	5	2025	25.7	33.21	10.02	1.58
28	5	2025	25.32	30.13	4.26	1.11
29	5	2025	25.27	29.0	74.88	0.56
30	5	2025	25.37	32.17	59.96	1.23
